name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1102;0;1055;3147;1906;3147;1929;0
header;1842;17;1842;22;1972;22;1972;17
A;1870;25;1870;27;1873;27;1873;25
A;1738;110;1738;110;1738;110;1738;110
A;1104;189;1104;216;1129;216;1129;189
A;1906;193;1906;194;1906;194;1906;193
A;1146;232;1146;232;1146;232;1146;232
A;1814;323;1814;324;1814;324;1814;323
A;1908;327;1908;327;1908;327;1908;327
A;1597;410;1597;441;1610;441;1610;410
A;1745;456;1745;458;1747;458;1747;456
A;1474;533;1474;535;1474;535;1474;533
A;1144;543;1144;543;1144;543;1144;543
A;1164;810;1164;810;1164;810;1164;810
B;1103;859;1103;889;1127;889;1127;859
A;1375;1032;1375;1032;1375;1032;1375;1032
C;1102;1533;1102;1561;1123;1561;1123;1533
D;1092;2243;1092;2270;1115;2270;1115;2243
