name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;484;0;531;3149;1784;3149;1760;0
header;80;106;80;142;1763;142;1763;106
A;719;169;719;196;731;196;731;169
A;900;170;900;198;925;198;925;170
B;903;844;903;872;924;872;924;844
A;867;930;867;931;867;931;867;930
A;1667;1026;1667;1047;1685;1047;1685;1026
B;1443;1160;1443;1181;1462;1181;1462;1160
B;1263;1206;1263;1227;1281;1227;1281;1206
C;911;1520;911;1549;931;1549;931;1520
D;922;2112;922;2140;944;2140;944;2112
A;797;2350;797;2352;799;2352;799;2350
A;1758;2792;1758;2793;1760;2793;1760;2792
